relation,time
personal,0.135974884033
public,0.0806801319122
personal,0.141577959061
public,0.0796558856964
personal,0.102921009064
public,0.108160972595
personal,0.101464033127
public,0.117799043655
personal,0.0831441879272
public,0.130774021149
personal,0.0688710212708
public,0.148733139038
personal,0.0547811985016
public,0.162244081497
personal,0.0456478595734
public,0.173165798187
personal,0.0257499217987
public,0.189017057419
personal,0.0144989490509
public,0.203142881393
personal,0.000324010848999
public,0.216715097427
personal,0.190756082535
public,0.0227510929108
personal,0.183286905289
public,0.0332419872284
personal,0.166538953781
public,0.0494871139526
personal,0.153563022614
public,0.0625081062317
personal,0.141914129257
public,0.0746579170227
personal,0.127492189407
public,0.0890259742737
personal,0.114849090576
public,0.100939035416
personal,0.102345943451
public,0.114185094833
personal,0.0913751125336
public,0.128731012344
personal,0.0741820335388
public,0.142403125763
personal,0.0629510879517
public,0.153660058975
personal,0.0493459701538
public,0.165203809738
personal,0.0405550003052
public,0.176357030869
personal,0.0273230075836
public,0.189379930496
personal,0.0186648368835
public,0.196735143661
personal,0.00389099121094
public,0.211812019348
personal,0.194574832916
public,0.022341966629
personal,0.181417942047
public,0.0358901023865
personal,0.170262098312
public,0.0639350414276
personal,0.136678934097
public,0.060182094574
personal,0.143369913101
public,0.0741219520569
personal,0.128916025162
public,0.0860359668732
personal,0.120420217514
public,0.0983769893646
personal,0.102535009384
public,0.114329814911
personal,0.089467048645
public,0.127412080765
personal,0.0759460926056
public,0.140241861343
personal,0.0631308555603
public,0.154122829437
personal,0.0557079315186
public,0.163373947144
personal,0.0343549251556
public,0.179002046585
personal,0.0252909660339
public,0.191578149796
personal,0.0122950077057
public,0.20455288887
personal,0.200861930847
public,0.0150110721588
personal,0.187487125397
public,0.0282258987427
personal,0.176635026932
public,0.0415551662445
personal,0.160681009293
public,0.0546350479126
personal,0.151892900467
public,0.06281208992
personal,0.138402938843
public,0.0787880420685
personal,0.124003171921
public,0.0925388336182
personal,0.234791994095
public,0.202848911285
personal,0.0818829536438
public,0.135941982269
personal,0.0658447742462
public,0.181442975998
personal,0.0230829715729
public,0.178047180176
personal,0.0277218818665
public,0.171439886093
personal,0.0463759899139
public,0.170361995697
personal,0.0154910087585
public,0.201365947723
